name	backbone	sample	gated	self_consistent	rmsd_to_design	tm_score	coverage	mean_plddt	min_plddt	mpnn_score	dsasa	contacts	hotspots	rg_ratio	net_charge	hotspot_hydrophobic_frac	eka_frac	length
design_5_s2	design_5	2	True	True	0.48	0.961	1	85.5	71	1.092	469	12	6	1.29	-2	0.538	0.6346	52
design_18_s4	design_18	4	True	True	0.45	0.969	1	91.6	83	1.102	448.3	9	6	1.28	-2	0.667	0.7091	55
design_18_s5	design_18	5	True	True	0.51	0.959	1	91.7	82	1.136	448.3	9	6	1.28	-2	0.667	0.7091	55
design_18_s7	design_18	7	True	True	0.56	0.952	1	90.3	81	1.1	448.3	9	6	1.28	3	0.667	0.7091	55
design_18_s6	design_18	6	True	True	0.64	0.938	1	89.4	80	1.139	448.3	9	6	1.28	-5	0.667	0.6909	55
design_15_s5	design_15	5	True	True	0.45	0.969	1	90.3	80	0.9607	406.3	9	6	1.29	-4	0.4	0.6964	56
design_15_s7	design_15	7	True	True	0.7	0.929	1	88.1	75	0.9963	406.3	9	6	1.29	-2	0.4	0.7321	56
design_15_s6	design_15	6	True	True	0.7	0.932	1	86	78	1.004	406.3	9	6	1.29	-5	0.4	0.7321	56
design_15_s2	design_15	2	True	True	0.73	0.923	1	89.8	77	1.021	406.3	9	6	1.29	-5	0.4	0.75	56
design_14_s7	design_14	7	True	True	0.43	0.972	1	93.1	83	1.034	404.3	10	6	1.06	0	0.583	0.6491	57
design_14_s1	design_14	1	True	True	0.49	0.964	1	89.7	75	1.025	404.3	10	6	1.06	-1	0.667	0.6491	57
design_14_s6	design_14	6	True	True	0.64	0.942	1	91.8	79	1.068	404.3	10	6	1.06	-6	0.667	0.614	57
design_14_s8	design_14	8	True	True	0.77	0.923	1	91.8	70	0.9929	404.3	10	6	1.06	-7	0.75	0.6667	57
design_14_s2	design_14	2	True	True	0.79	0.918	1	93.3	79	1.086	404.3	10	6	1.06	-3	0.583	0.5789	57
design_12_s4	design_12	4	True	True	0.4	0.976	1	90.2	79	1.115	402.1	8	6	1.29	3	0.545	0.6667	57
design_12_s8	design_12	8	True	True	0.61	0.947	1	89.5	79	1.147	402.1	8	6	1.29	-3	0.545	0.6667	57
design_12_s7	design_12	7	True	True	0.64	0.943	1	89.2	79	1.13	402.1	8	6	1.29	-4	0.545	0.7193	57
design_12_s1	design_12	1	True	True	0.76	0.924	1	90.7	80	1.114	402.1	8	6	1.29	-1	0.545	0.7368	57
design_12_s3	design_12	3	True	True	0.76	0.92	1	90.7	81	1.145	402.1	8	6	1.29	-2	0.545	0.6842	57
